0	5.1765
0.01	5.8288
0.02	6.5401
0.03	7.3176
0.04	8.1693
0.05	9.1046
0.06	10.1341
0.07	11.2702
0.08	12.527
0.09	13.9209
0.1	15.4706
0.11	17.1978
0.12	19.1272
0.13	21.287
0.14	23.7091
0.15	26.429
0.16	29.4856
0.17	32.9202
0.18	36.7744
0.19	41.0868
0.2	45.8868
0.21	51.1862
0.22	56.9661
0.23	63.1595
0.24	69.632
0.25	76.1622
0.26	82.4311
0.27	88.032
0.28	92.5101
0.29	95.4365
0.3	96.5
0.31	95.5866
0.32	92.8106
0.33	88.4836
0.34	83.035
0.35	76.9197
0.36	70.5451
0.37	64.2303
0.38	58.1973
0.39	52.5808
0.4	47.4483
0.41	42.819
0.42	38.6818
0.43	35.0076
0.44	31.7583
0.45	28.8929
0.46	26.3707
0.47	24.1534
0.48	22.206
0.49	20.4974
0.5	19
0.51	17.6899
0.52	16.5463
0.53	15.5512
0.54	14.6891
0.55	13.9469
0.56	13.3133
0.57	12.7786
0.58	12.3347
0.59	11.9745
0.6	11.6923
0.61	11.4831
0.62	11.3427
0.63	11.2678
0.64	11.2555
0.65	11.3033
0.66	11.4092
0.67	11.5716
0.68	11.7889
0.69	12.0596
0.7	12.3824
0.71	12.7554
0.72	13.177
0.73	13.6446
0.74	14.1555
0.75	14.7059
0.76	15.2912
0.77	15.9056
0.78	16.5421
0.79	17.1923
0.8	17.8462
0.81	18.4924
0.82	19.1181
0.83	19.7093
0.84	20.2514
0.85	20.7294
0.86	21.1287
0.87	21.4358
0.88	21.6393
0.89	21.7302
0.9	21.7027
0.91	21.5548
0.92	21.288
0.93	20.9075
0.94	20.4217
0.95	19.8416
0.96	19.1799
0.97	18.4508
0.98	17.6686
0.99	16.8472
1	16
